creative,goal_DONATE_prediction,goal_DONATE_predicted_prob,goal_CONTACT_prediction,goal_CONTACT_predicted_prob,goal_PURCHASE_prediction,goal_PURCHASE_predicted_prob,goal_GOTV_prediction,goal_GOTV_predicted_prob,goal_EVENT_prediction,goal_EVENT_predicted_prob,goal_POLL_prediction,goal_POLL_predicted_prob,goal_GATHERINFO_prediction,goal_GATHERINFO_predicted_prob,goal_LEARNMORE_prediction,goal_LEARNMORE_predicted_prob,goal_PRIMARY_PERSUADE_prediction,goal_PRIMARY_PERSUADE_predicted_prob,goal_highest_prob
HOUSE/MN07 FISCHBACH&NRCC ILHAN OMAR,0,0.01716729501366293,0,0.0074357884440803285,0,0.008083096561274964,0,0.05728142978952827,0,0.003826872513227323,0,0.006870955643069323,0,0.01944552995610569,1,0.7422715971521417,1,0.7861540101361406,PRIMARY_PERSUADE
HOUSE/MN07 FISCHBACH&NRCC THE LIBERAL MOB,0,0.011337159112787267,0,0.006429529700382878,0,0.0065319943135098806,0,0.025441331582303495,0,0.0038602965474933844,0,0.008048429031214752,0,0.06703809665373416,1,0.7072058058301125,1,0.5663235042809298,LEARNMORE
HOUSE/MN07 FISCHBACH&NRCC THE PELOSI PLAN,0,0.0036855559313063967,0,0.0080614443019007,0,0.006277962735343649,0,0.040539800609716625,0,0.003826872513227323,0,0.02519158011968561,0,0.022440541008961687,1,0.849867851049323,1,0.8795328361396686,PRIMARY_PERSUADE
HOUSE/MN07 HOUSEMAJPAC POLITICIAN,0,0.005907658082405953,0,0.0061873851990767725,0,0.005685714947100431,0,0.0921695038420035,0,0.003090529947090163,0,0.006573382112991919,0,0.02718790260517366,1,0.8815050898894117,1,0.9180773111992104,PRIMARY_PERSUADE
HOUSE/MN07 HOUSEMAJPAC SPECIAL FRIEND,0,0.0039056540780400143,0,0.008523739425864752,0,0.010147870355483824,0,0.0795173382233601,0,0.0041044535536608525,0,0.005757706461940304,0,0.017229033547653913,1,0.8552318269669912,1,0.911364674298422,PRIMARY_PERSUADE
HOUSE/MN07 HOUSEMAJPAC TAKE A CLOSER LOOK,0,0.005936500133454288,0,0.006964235923122451,0,0.0061381407491913845,0,0.037723719140293516,0,0.004491251044827563,0,0.007196225643326881,0,0.014051982063946745,1,0.8654098075495988,1,0.8946951484343582,PRIMARY_PERSUADE
HOUSE/MN07 HOUSEMAJPAC ULTIMATE TWIN CITIES POLITICIAN,0,0.008850350687947647,0,0.006461179728654223,0,0.006667299876939957,0,0.09108817333337937,0,0.0035498532974840534,0,0.00695061358255142,0,0.02607714246773918,1,0.8415514738319667,1,0.8840631619503215,PRIMARY_PERSUADE
HOUSE/MN07 HOUSEMAJPAC WHEN THEY CALLED,0,0.003320651672645248,0,0.008603467195962024,0,0.008116052191184565,0,0.045565119172124385,0,0.0037157712591712974,0,0.00594548889708677,0,0.024282052342549088,1,0.8741438697022239,1,0.9061133444098662,PRIMARY_PERSUADE
HOUSE/MN07 NRCC ELECTED TO STAND STRONG,0,0.021056462143537118,0,0.008847853677698816,0,0.012567421221236103,0,0.056261801083083415,0,0.0033056962913165858,0,0.00698479520743925,0,0.026314971327504294,1,0.5482028456949021,1,0.6985821595828232,PRIMARY_PERSUADE
HOUSE/MN07 NRCC GOLD WATCH,0,0.004334270731838338,0,0.02569688926761959,0,0.005830111932673439,0,0.02785522357568693,0,0.003090529947090163,0,0.005443537405491626,0,0.030770655755467675,1,0.7999497092456859,1,0.9384283321638975,PRIMARY_PERSUADE
HOUSE/MN07 NRCC THE BANDWAGON,0,0.004796081659080652,0,0.00726214491588758,0,0.009199781454941746,0,0.08083863348806065,0,0.0032564479087774066,0,0.01531880004067878,0,0.0542370082916478,1,0.5694885987609812,1,0.6784148370089635,PRIMARY_PERSUADE
HOUSE/MN07 PETERSON A FAIR SHOT,0,0.014016640367375868,0,0.009309751593740959,0,0.006750179887356163,0,0.037324643907084495,0,0.0035498532974840534,0,0.005621479418756049,0,0.020216468828469874,1,0.5382396639832038,1,0.7734912802406066,PRIMARY_PERSUADE
HOUSE/MN07 PETERSON FORTY TWO HOSPITALS,0,0.01278795170197417,0,0.010947724987021797,0,0.009055801639973065,0,0.06076348733809563,0,0.004124028392827601,0,0.010048943396203797,0,0.015607816475818288,1,0.7753289135585753,1,0.8349156326486812,PRIMARY_PERSUADE
HOUSE/MN07 PETERSON KURT WICKSTROM,0,0.03644956841207299,0,0.010431704392031112,0,0.008814724955484899,0,0.03437037702505985,0,0.005067731314806567,0,0.00982484789832188,0,0.040790987738510406,0,0.3480641742530899,1,0.5756163257013308,PRIMARY_PERSUADE
